Attack,GNN,TAcc,AAcc,AF1
baseline_train_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8149,0.8341
surviving_edges_20p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.7034,0.7682
surviving_edges_40p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8375,0.8557
surviving_edges_60p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8524,0.8701
surviving_edges_80p_cora_citeseer_diff_domain_dist,graphsage,0.8653,0.8768,0.8928

baseline_train_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.5006,0.6640
surviving_edges_20p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7384,0.7838
surviving_edges_40p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.7653,0.8028
surviving_edges_60p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8087,0.8298
surviving_edges_80p_cora_pubmed_diff_domain_dist,graphsage,0.8616,0.8275,0.8405

baseline_train_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7548,0.7518
surviving_edges_20p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7796,0.8027
surviving_edges_40p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7719,0.8061
surviving_edges_60p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.7937,0.8189
surviving_edges_80p_citeseer_cora_diff_domain_dist,graphsage,0.9145,0.8122,0.8419

baseline_train_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.6677,0.7408
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7505,0.7879
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7721,0.7999
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7840,0.8127
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,graphsage,0.8616,0.7823,0.8177

baseline_train_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7323,0.7256
surviving_edges_20p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7755,0.8043
surviving_edges_40p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.7750,0.8041
surviving_edges_60p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8288,0.8473
surviving_edges_80p_pubmed_cora_diff_domain_dist,graphsage,0.9145,0.8028,0.8300

baseline_train_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8109,0.8146
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.7744,0.8146
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8193,0.8434
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8066,0.8323
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,graphsage,0.8653,0.8539,0.8715

baseline_train_cora_citeseer_diff_domain_dist,gat,0.8834,0.8207,0.8406
surviving_edges_20p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8199,0.8465
surviving_edges_40p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8332,0.8549
surviving_edges_60p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8646,0.8799
surviving_edges_80p_cora_citeseer_diff_domain_dist,gat,0.8834,0.8606,0.8744

baseline_train_cora_pubmed_diff_domain_dist,gat,0.8620,0.6969,0.7518
surviving_edges_20p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7282,0.7771
surviving_edges_40p_cora_pubmed_diff_domain_dist,gat,0.8620,0.6971,0.7645
surviving_edges_60p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7858,0.8142
surviving_edges_80p_cora_pubmed_diff_domain_dist,gat,0.8620,0.7837,0.8136

baseline_train_citeseer_cora_diff_domain_dist,gat,0.9332,0.7677,0.7803
surviving_edges_20p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8095,0.8267
surviving_edges_40p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8054,0.8264
surviving_edges_60p_citeseer_cora_diff_domain_dist,gat,0.9332,0.8201,0.8439
surviving_edges_80p_citeseer_cora_diff_domain_dist,gat,0.9332,0.7796,0.8166

baseline_train_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7048,0.7594
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7076,0.7651
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7771,0.8047
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7632,0.8011
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gat,0.8620,0.7834,0.8193

baseline_train_pubmed_cora_diff_domain_dist,gat,0.9332,0.7422,0.7241
surviving_edges_20p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7911,0.8185
surviving_edges_40p_pubmed_cora_diff_domain_dist,gat,0.9332,0.7762,0.8117
surviving_edges_60p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8154,0.8378
surviving_edges_80p_pubmed_cora_diff_domain_dist,gat,0.9332,0.8626,0.8845

baseline_train_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8308,0.8376
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8146,0.8423
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8314,0.8508
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8552,0.8696
surviving_edges_80p_pubmed_citeseer_diff_domain_dist,gat,0.8834,0.8660,0.8768

baseline_train_cora_citeseer_diff_domain_dist,gcn,0.8666,0.5071,0.6703
surviving_edges_20p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6020,0.7122
surviving_edges_40p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6624,0.7269
surviving_edges_60p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.6644,0.7341
surviving_edges_80p_cora_citeseer_diff_domain_dist,gcn,0.8666,0.7582,0.7991

baseline_train_cora_pubmed_diff_domain_dist,gcn,0.8924,0.6651,0.7381
surviving_edges_20p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7374,0.7735
surviving_edges_40p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7407,0.7836
surviving_edges_60p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7726,0.8019
surviving_edges_80p_cora_pubmed_diff_domain_dist,gcn,0.8924,0.7990,0.8216

baseline_train_citeseer_cora_diff_domain_dist,gcn,0.9098,0.7131,0.7318
surviving_edges_20p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5199,0.6731
surviving_edges_40p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.5609,0.6836
surviving_edges_60p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6166,0.7067
surviving_edges_80p_citeseer_cora_diff_domain_dist,gcn,0.9098,0.6972,0.7351

baseline_train_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.5622,0.6948
surviving_edges_20p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7207,0.7683
surviving_edges_40p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7592,0.7913
surviving_edges_60p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7664,0.7993
surviving_edges_80p_citeseer_pubmed_diff_domain_dist,gcn,0.8924,0.7923,0.8129

baseline_train_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7121,0.6670
surviving_edges_20p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7257,0.7595
surviving_edges_40p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7016,0.7497
surviving_edges_60p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.7808,0.8030
surviving_edges_80p_pubmed_cora_diff_domain_dist,gcn,0.9098,0.6432,0.7314

baseline_train_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.7595,0.7646
surviving_edges_20p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6327,0.7324
surviving_edges_40p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.5962,0.7142
surviving_edges_60p_pubmed_citeseer_diff_domain_dist,gcn,0.8666,0.6753,0.7399
