Attack (target_ds, attacker_ds)       GNN           Target Acc      Attacker Acc      Attacker F1-Score
---------------------------------------------------------------------------------------------------------
baseline_1_cora_citeseer              graphsage     69.40           82.69             84.24
baseline_2_cora_citeseer              graphsage     56.72           72.71             78.09
surviving_edges_20p_cora_citeseer     graphsage     56.72           80.40             82.90
surviving_edges_40p_cora_citeseer     graphsage     56.72           86.41             87.29
surviving_edges_60p_cora_citeseer     graphsage     56.72           90.75             90.69
surviving_edges_80p_cora_citeseer     graphsage     56.72           90.69             91.31

baseline_1_cora_pubmed                graphsage     89.49           68.26             74.58
baseline_2_cora_pubmed                graphsage     89.38           70.65             75.90
surviving_edges_20p_cora_pubmed       graphsage     89.38           75.55             79.09
surviving_edges_40p_cora_pubmed       graphsage     89.38           79.09             81.81
surviving_edges_60p_cora_pubmed       graphsage     89.38           80.41             83.25
surviving_edges_80p_cora_pubmed       graphsage     89.38           82.99             85.12

baseline_1_citeseer_cora              graphsage     89.61           74.26             75.24
baseline_2_citeseer_cora              graphsage     83.04           69.93             71.12
surviving_edges_20p_citeseer_cora     graphsage     83.04           77.27             79.00
surviving_edges_40p_citeseer_cora     graphsage     83.04           79.08             81.64
surviving_edges_60p_citeseer_cora     graphsage     83.04           87.21             87.90
surviving_edges_80p_citeseer_cora     graphsage     83.04           86.92             87.94

baseline_1_citeseer_pubmed            graphsage     89.49           70.35             75.98
baseline_2_citeseer_pubmed            graphsage     89.38           72.83             76.49
surviving_edges_20p_citeseer_pubmed   graphsage     89.38           76.71             79.59
surviving_edges_40p_citeseer_pubmed   graphsage     89.38           77.00             80.60
surviving_edges_60p_citeseer_pubmed   graphsage     89.38           81.71             84.10
surviving_edges_80p_citeseer_pubmed   graphsage     89.38           84.29             85.97

baseline_1_pubmed_cora                graphsage     89.61           72.71             67.49
baseline_2_pubmed_cora                graphsage     83.04           60.37             70.45
surviving_edges_20p_pubmed_cora       graphsage     83.04           76.03             78.73
surviving_edges_40p_pubmed_cora       graphsage     83.04           82.74             82.76
surviving_edges_60p_pubmed_cora       graphsage     83.04           86.88             87.23
surviving_edges_80p_pubmed_cora       graphsage     83.04           87.30             88.17

baseline_1_pubmed_citeseer            graphsage     69.40           80.46             82.10
baseline_2_pubmed_citeseer            graphsage     56.72           70.52             76.94
surviving_edges_20p_pubmed_citeseer   graphsage     56.72           78.83             81.96
surviving_edges_40p_pubmed_citeseer   graphsage     56.72           88.08             88.54
surviving_edges_60p_pubmed_citeseer   graphsage     56.72           89.07             89.45
surviving_edges_80p_pubmed_citeseer   graphsage     56.72           92.68             93.09

baseline_1_cora_citeseer              gat           77.75           79.93             83.10
baseline_2_cora_citeseer              gat           60.88           73.97             78.77
surviving_edges_20p_cora_citeseer     gat           60.88           80.91             82.97
surviving_edges_40p_cora_citeseer     gat           60.88           86.44             86.70
surviving_edges_60p_cora_citeseer     gat           60.88           88.77             89.58
surviving_edges_80p_cora_citeseer     gat           60.88           89.52             90.58

baseline_1_cora_pubmed                gat           89.10           69.41             75.15
baseline_2_cora_pubmed                gat           89.13           73.39             77.26
surviving_edges_20p_cora_pubmed       gat           89.13           71.90             77.37
surviving_edges_40p_cora_pubmed       gat           89.13           79.64             82.30
surviving_edges_60p_cora_pubmed       gat           89.13           80.11             83.01
surviving_edges_80p_cora_pubmed       gat           89.13           83.65             85.32

baseline_1_citeseer_cora              gat           85.71           74.69             77.15
baseline_2_citeseer_cora              gat           77.78           63.89             71.21
surviving_edges_20p_citeseer_cora     gat           77.78           73.66             77.96
surviving_edges_40p_citeseer_cora     gat           77.78           80.61             82.66
surviving_edges_60p_citeseer_cora     gat           77.78           80.09             82.82
surviving_edges_80p_citeseer_cora     gat           77.78           85.91             87.30

baseline_1_citeseer_pubmed            gat           89.10           69.04             75.01
baseline_2_citeseer_pubmed            gat           89.13           73.87             77.22
surviving_edges_20p_citeseer_pubmed   gat           89.13           75.63             79.19
surviving_edges_40p_citeseer_pubmed   gat           89.13           79.89             82.30
surviving_edges_60p_citeseer_pubmed   gat           89.13           78.64             82.13
surviving_edges_80p_citeseer_pubmed   gat           89.13           83.50             85.46

baseline_1_pubmed_cora                gat           85.71           70.72             64.65
baseline_2_pubmed_cora                gat           77.78           68.67             74.17
surviving_edges_20p_pubmed_cora       gat           77.78           69.74             75.17
surviving_edges_40p_pubmed_cora       gat           77.78           78.53             81.51
surviving_edges_60p_pubmed_cora       gat           77.78           80.99             83.29
surviving_edges_80p_pubmed_cora       gat           77.78           89.08             89.96

baseline_1_pubmed_citeseer            gat           77.75           81.16             82.81
baseline_2_pubmed_citeseer            gat           60.88           70.44             76.07
surviving_edges_20p_pubmed_citeseer   gat           60.88           76.01             79.47
surviving_edges_40p_pubmed_citeseer   gat           60.88           79.54             83.07
surviving_edges_60p_pubmed_citeseer   gat           60.88           90.48             90.80
surviving_edges_80p_pubmed_citeseer   gat           60.88           90.66             91.09

baseline_1_cora_citeseer              gcn           71.11           71.98             76.77
baseline_2_cora_citeseer              gcn           57.24           72.08             75.96
surviving_edges_20p_cora_citeseer     gcn           57.24           70.15             75.81
surviving_edges_40p_cora_citeseer     gcn           57.24           73.02             77.61
surviving_edges_60p_cora_citeseer     gcn           57.24           75.29             78.81
surviving_edges_80p_cora_citeseer     gcn           57.24           84.62             85.41

baseline_1_cora_pubmed                gcn           90.35           50.60             66.83
baseline_2_cora_pubmed                gcn           87.74           72.19             76.57
