Attack                    GNN           Dataset       Target Acc      Attacker Acc      Attacker F1-Score
---------------------------------------------------------------------------------------------------------
baseline_1                graphsage     cora          89.61           70.23             66.88
baseline_2                graphsage     cora          83.04           68.93             64.87
surviving_edges_20p       graphsage     cora          83.04           70.95             75.86
surviving_edges_40p       graphsage     cora          83.04           75.75             79.55
surviving_edges_60p       graphsage     cora          83.04           75.80             80.00
surviving_edges_80p       graphsage     cora          83.04           76.13             79.95

baseline_1                graphsage     citeseer      69.40           76.45             79.92
baseline_2                graphsage     citeseer      56.72           72.19             72.86
surviving_edges_20p       graphsage     citeseer      56.72           75.64             79.25
surviving_edges_40p       graphsage     citeseer      56.72           79.04             82.57
surviving_edges_60p       graphsage     citeseer      56.72           81.23             84.09
surviving_edges_80p       graphsage     citeseer      56.72           80.54             83.76

baseline_1                graphsage     pubmed        89.49           71.78             76.78
baseline_2                graphsage     pubmed        89.38           70.05             75.87
surviving_edges_20p       graphsage     pubmed        89.38           71.59             74.51
surviving_edges_40p       graphsage     pubmed        89.38           69.58             76.43
surviving_edges_60p       graphsage     pubmed        89.38           74.63             79.65
surviving_edges_80p       graphsage     pubmed        89.38           72.54             78.23

baseline_1                gat           cora          85.71           66.56             74.11
baseline_2                gat           cora          77.78           65.17             57.32
surviving_edges_20p       gat           cora          77.78           66.90             74.11
surviving_edges_40p       gat           cora          77.78           69.83             76.07
surviving_edges_60p       gat           cora          77.78           73.48             78.30
surviving_edges_80p       gat           cora          77.78           75.84             80.41

baseline_1                gat           citeseer      77.75           72.43             68.96
baseline_2                gat           citeseer      60.88           69.36             67.90
surviving_edges_20p       gat           citeseer      60.88           74.70             75.20
surviving_edges_40p       gat           citeseer      60.88           77.09             81.04
surviving_edges_60p       gat           citeseer      60.88           76.98             81.16
surviving_edges_80p       gat           citeseer      60.88           76.70             81.33

baseline_1                gat           pubmed        89.10           68.59             75.24
baseline_2                gat           pubmed        89.13           68.57             75.38
surviving_edges_20p       gat           pubmed        89.13           64.59             73.51
surviving_edges_40p       gat           pubmed        89.13           62.38             72.42
surviving_edges_60p       gat           pubmed        89.13           66.49             75.00
surviving_edges_80p       gat           pubmed        89.13           72.16             78.00

baseline_1                gcn           cora          89.83           65.68             73.15
baseline_2                gcn           cora          75.46           64.11             56.51
surviving_edges_20p       gcn           cora          75.46           66.15             72.02
surviving_edges_40p       gcn           cora          75.46           65.45             55.72
surviving_edges_60p       gcn           cora          75.46           76.16             78.33
surviving_edges_80p       gcn           cora          75.46           75.36             75.06

baseline_1                gcn           citeseer      71.11           68.44             74.54
baseline_2                gcn           citeseer      57.24           73.02             77.15
surviving_edges_20p       gcn           citeseer      57.24           65.95             73.72
surviving_edges_40p       gcn           citeseer      57.24           74.96             78.36
surviving_edges_60p       gcn           citeseer      57.24           79.60             82.23
surviving_edges_80p       gcn           citeseer      57.24           80.31             82.79

baseline_1                gcn           pubmed        90.35           69.38             75.56
baseline_2                gcn           pubmed        87.74           71.25             72.55
surviving_edges_20p       gcn           pubmed        87.74           69.73             76.05
surviving_edges_40p       gcn           pubmed        87.74           72.23             75.05
surviving_edges_60p       gcn           pubmed        87.74           68.59             59.04
surviving_edges_80p       gcn           pubmed        87.74           61.05             38.10

